Lifetime Post Total Reach,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,comment,like,share,Type_Photo,Type_Status,Type_Video,Category_2,Category_3,Post Month_2,Post Month_3,Post Month_4,Post Month_5,Post Month_6,Post Month_7,Post Month_8,Post Month_9,Post Month_10,Post Month_11,Post Month_12,Post Weekday_2,Post Weekday_3,Post Weekday_4,Post Weekday_5,Post Weekday_6,Post Weekday_7,Post Hour_2,Post Hour_3,Post Hour_4,Post Hour_5,Post Hour_6,Post Hour_7,Post Hour_8,Post Hour_9,Post Hour_10,Post Hour_11,Post Hour_12,Post Hour_13,Post Hour_14,Post Hour_15,Post Hour_16,Post Hour_17,Post Hour_18,Post Hour_19,Post Hour_20,Post Hour_22,Post Hour_23,Paid_1.0,cluster,cluster_label,scaled_feature_1,scaled_feature_2
-0.4908593391388422,-0.7543907708883417,109,3078,1640,119,-0.1645579567974994,-0.3053747753160574,-0.2365949421754466,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Normal,-0.4908593391388422,-0.7543907708883417
-0.1515694421144258,0.5453648625729498,1361,11710,6112,1108,-0.117298348297356,-0.1474062841798475,0.045962711696504,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Normal,-0.1515694421144258,0.54536486257295
-0.5057814038886187,-0.7554069989051214,113,2812,1503,132,-0.3535963907980731,-0.3456412534488167,-0.3072343556434342,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Normal,-0.5057814038886187,-0.7554069989051214
1.5945322230600096,1.311600787224876,790,61027,32048,1386,2.387460902210245,4.319075367161615,2.8244463081040183,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,Above Average,1.5945322230600096,1.3116007872248763
-0.2931309767317744,-0.2533903586159283,410,6228,3200,396,0.544336170704652,0.4565908878115429,0.5168921348164217,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Normal,-0.2931309767317744,-0.2533903586159283
-0.1510412274330178,0.2750482101095381,1073,16034,7852,1016,-0.3063367822979297,-0.0792630134936394,0.1401485963204875,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Normal,-0.1510412274330178,0.2750482101095382
-0.0973394014898694,-0.4464736818040795,265,15432,9328,379,-0.2118175652976428,0.221186861804642,-0.0011302306154877,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,Normal,-0.09733940148986939,-0.4464736818040795
-0.0080711203319145,-0.3895649128644139,232,19728,11056,422,-0.3535963907980731,0.4565908878115429,-0.3072343556434342,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,Normal,-0.008071120331914493,-0.3895649128644139
-0.0906486821920345,0.6195495077978711,1407,15220,7912,1250,-0.3535963907980731,-0.0513862209401906,0.0930556540084957,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Normal,-0.09064868219203448,0.6195495077978713
-0.4053765965309781,-0.6507355131768079,183,4309,2324,199,-0.2118175652976428,-0.2000624478919175,-0.0246767017714836,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Normal,-0.4053765965309781,-0.6507355131768079
